WORD	EXPRESSED_MORAL
state	-1.057364298030734
year	-1.0048460452817378
time	-0.7911922805942595
city	-1.9831157975568203
late	-0.512716256082058
world	-0.8519914080388844
government	-1.0274593029171228
people	-0.8778351021464914
call	0.7603088626638055
write	0.8416846427135171
century	-0.6588429070543498
states	-0.5547701760660857
party	-1.2182975015603006
national	-0.5745535483583808
group	-0.6577513955999166
school	-0.7974712008144706
area	-1.678066726308316
force	-1.3449735882459208
system	-1.0326268109492958
university	-1.4943846617825332
give	0.5700767198577523
house	-1.5269904742017388
great	0.8191989723127335
numb	1.1586021073162556
court	-1.0378357799490914
south	-0.9297077916562556
political	0.7096221938263625
north	-1.0122535829432309
power	-0.7392436946975067
church	-1.998596106655896
record	-1.1286210713005858
order	-0.7731713326647878
game	-0.8128432921366766
build	-0.5867258139187471
major	-0.8444343835581094
remain	-0.5521046184003353
population	-1.3291711759520697
vote	-0.5277844183729029
team	-1.4948700899258256
company	-1.7000637270975858
season	-0.6972431155154482
consider	0.5299234393460209
home	-1.3041724147624336
child	-0.5754708309541456
continue	-0.5292928618146107
describe	0.8271793145686388
human	0.6708925005514175
period	-0.8096087272278965
language	-0.8374774841358885
line	-1.1001196599099785
water	-0.8967501716688275
military	-0.6908636633306742
march	-0.6761990643572062
west	-1.1224287666263992
king	-1.3063454404473305
land	-1.5825734110549092
establish	-0.5598592509049922
rule	-1.0745583149255251
different	0.5051510413177311
social	0.975645595230162
campaign	-0.6740711361635476
local	-0.5635970868170261
east	-1.1892796448664742
black	0.708735951804556
region	-1.9595502841402777
plan	-0.9287342457100748
position	-0.5029768517706543
july	-0.8816436403430998
office	-0.6651683775708079
believe	0.5443439651280642
center	-0.6200137813575566
island	-1.1202006628736854
river	-1.553992472589016
college	-0.5480579771101475
central	-0.9867397577036172
county	-1.56135791586712
town	-1.676127266138792
community	-1.2986198323778808
think	0.7700297314440832
move	-0.6018047779798508
young	0.7122026402503252
body	-0.8133505337173119
month	-1.1218177746050058
western	-0.8973528523929417
attempt	-0.6360185224330053
pass	-0.9243620962370188
battle	-0.6974304706673138
field	-0.8312655556946993
organization	-0.5350348638603464
district	-1.8652435280382635
action	0.7801391284447163
league	-1.8640337260439992
interest	-0.5121240483131261
title	-0.5499261450022459
occur	-0.579187257681042
father	-1.3309813879895955
good	0.8751367097720504
roman	-0.7737593406345695
council	-0.9787733073462732
park	-1.4055648292414844
production	-0.6053565157344565
fall	-0.7999729197472334
business	-0.6542023122310638
song	-0.501921683200635
offer	0.5033092810772359
market	-0.8180463546887041
argue	0.6397317136870697
culture	-0.9777048673131504
practice	-1.0143239945173264
site	-1.5371058540185911
science	0.5244809433352202
story	-0.657196773448959
post	-0.5407968177460134
club	-1.552211113885278
bill	-0.5727032311260699
original	-0.7167571354657412
short	0.6924739331589079
project	-0.5715326697099954
division	-1.6143012251704931
congress	-0.9554447991540655
exist	-0.9766278131864964
fight	-0.6566798449493945
band	-0.9232874165754764
ship	-1.3534095748327672
fund	-1.1649145336705258
send	-0.5860302262008189
sell	-1.0295968791469932
southern	-1.0072047188295985
northern	-0.9396320236846804
generally	0.5932640740647912
despite	-0.6655721976421773
france	0.6330487520317547
date	-0.5798063299153
version	-0.9223001013160684
governor	-1.0150323784910142
primary	-0.5273679678793997
operation	-0.7710824180394411
standard	-0.912719815503806
week	-1.033235360402614
washington	0.5229464755393565
half	-0.6475361110642552
kingdom	-1.9916498949751256
empire	-1.351300919195637
direct	0.8575014155358076
station	-0.9682717921677976
carry	-0.5580587986623868
little	0.6002870695665479
department	-1.2558635617024263
structure	-1.0164738761959595
special	0.5172075334412511
reduce	0.7221544850617647
william	0.7705675628967583
eastern	-1.2002062792889774
authority	-1.0147191584110258
natural	0.5369856231845915
majority	-0.6387305385433137
tell	0.6334628467448056
locate	-1.0065608108707238
network	-1.0789636420086026
industry	-1.2076418208889663
operate	-1.0524449929034745
effort	-0.6007961700670421
board	-0.5540411921683699
street	-0.8264243174344301
unit	-1.169529658043757
element	-0.6404647687450051
today	-0.9509726213291289
chinese	-0.5882930080406368
plant	-0.8987360838800669
method	-0.5821812474168837
india	0.7541063092648983
wife	-0.6580571490339935
road	-1.1169015408959242
self	0.7061868621967733
oppose	0.5019000833854079
territory	-2.2918835869058967
economy	-1.0950359522830695
mother	-1.2452026098617353
police	-0.6475287317298353
certain	0.6980317085981369
centre	-0.6229028003290296
author	0.7274838934536092
percent	-0.7891116723185405
part	-0.5444955928251147
ancient	-0.6366390984039754
republic	-1.0737810332793742
separate	-0.6133240454364568
money	-0.6852893837203737
seat	-0.9156597200781108
nature	0.6101897279731929
real	0.5953292656922713
read	0.7170684557640925
royal	-1.2946714721620085
constitution	-0.6278446968644857
loss	-0.536411122768186
promote	0.5308631923981011
lack	1.0621136338450017
canada	-1.1708130008337319
jewish	-0.6361977173946798
liberal	0.6762943938374519
museum	-1.3612809717305936
review	0.5115131344646215
brother	-0.9026773696532472
love	0.6043737598229201
supply	-0.5381983169354498
express	0.6793658868409693
text	-0.7660260449629277
troop	-1.478994688950479
feel	0.7015372468158603
football	-0.5905905710533261
wide	0.6398364689666778
muslim	-0.6518837194889784
bird	-0.7651531915180385
section	-1.2337074437527915
speech	0.5922177289612591
construction	-0.6400127563392743
coast	-0.8073027590289712
lake	-1.1502490709535778
wall	-1.4695978024974463
institute	-0.7496887096203864
israel	0.8671658062376082
henry	0.9210674373898656
border	-1.5478292149491608
texas	0.9926127335056664
capture	-0.8327020895449095
province	-2.235021537868306
writer	0.858468227321282
location	-1.3626748197712004
magazine	0.5244858558289707
russia	0.7815125718479976
care	0.6886059406679124
historical	-0.6021481782663614
victory	-0.6088365148752928
parliament	-1.1959771489200648
institution	-1.280472744256258
native	-0.7600623263861053
match	-0.5644498486071825
peace	0.5646749101579189
senator	-0.5753919032867998
professional	0.662118800682947
building	-1.4098187217023224
vary	0.6613286975771189
daughter	-0.7108816129039042
decade	-1.081926766782999
regard	0.58429638389498
port	-1.2280457995366303
previous	-0.9998330113012344
paper	-0.6812366747763008
destroy	-0.6244845305336639
previously	-0.6110088501591235
commercial	-0.7202697061002254
blood	-0.6471151690930128
prior	-0.6545650397893041
discover	-0.6016851630993187
document	-0.6675017175730318
arrive	-0.5261779818683863
navy	-1.5218904557987116
treaty	-0.7644058421719819
tree	-0.7174470731988549
soldier	-0.988233515061438
convention	-1.2139826596248895
parent	-1.1729073119349778
code	-0.7307876313570887
staff	-0.722962576081045
forest	-1.6357518564909697
collection	-1.1392353060655296
sexual	0.5894931382499635
campus	-0.9769266061484814
interview	1.05061792768538
past	-0.7041140482760966
smith	0.5034844400361179
library	-1.608900090213865
highly	0.7491538619942729
reject	0.6439682724885643
fish	-0.5902800008188933
survive	-1.3002771311439574
channel	-1.1561625129543245
mission	-0.8263294585049152
credit	0.8081473070196807
mountain	-0.8045072425156832
gold	-0.78795422881376
aircraft	-0.5177247734973207
branch	-1.4865703848190606
criticize	0.7963519245968199
labor	0.6034214820247144
hill	-0.8590504180756398
asia	-0.9681700568180532
route	-1.1843726648949089
analysis	0.5072309760143979
bridge	-1.1811684812419116
emperor	-1.2196758966892958
transfer	-0.7343251295387745
sale	-1.0312306929699844
saint	-0.8332888900768012
transport	-0.5042838994413614
purchase	-0.7467642682604492
settlement	-1.0557633033022285
michael	0.5729494972038083
winter	-0.5491752757225186
colony	-1.7272985018789768
festival	-0.6827282924205065
critical	0.9745522644370794
hospital	-1.2011175549123436
lord	-0.7260837497306056
depend	0.5037667318247259
airport	-1.5103691765107214
store	-1.5928567294031382
bible	-0.7959443377330899
broadcast	-0.6775231785140932
academy	-1.1710113552981056
valley	-0.9807256156345828
track	-0.6150280545698479
manage	-1.1071935376094189
speed	0.6242708107456565
regional	-1.0490612359717488
championship	-1.3457264679891523
village	-1.5861230338923633
bush	-0.5235603516921401
facility	-1.4319655606523156
foot	-0.7317748409695923
block	-0.7092914134263992
select	0.8731589395320043
technique	-0.5207858327776194
conclude	0.5610378943383694
advocate	0.7857976753730327
temple	-1.5531903110531855
management	0.5536907427012919
negative	0.6616087317233905
camp	-1.0582530447281897
protest	-0.5535298294853419
faith	-0.5344220884144306
reserve	-1.3347952341428029
responsible	0.5030448617180809
obama	0.5596982046845369
resident	-1.112856503459625
occupy	-0.9095005735289304
compose	0.5190249495208263
fort	-1.560506392735988
appeal	0.7534104250371456
farm	-1.5397741449996831
employ	0.6318545388057828
behavior	0.6164651950821279
scene	-1.2013493033591658
presence	-0.6647860067896545
simple	0.7762436866760254
subsequently	-0.6938720745965838
spring	-0.6346357878646813
christ	1.095308962278068
positive	0.9083943464793264
talk	0.8399266225751489
mind	0.7499594104010612
encourage	0.6233364436775446
firm	-0.9057786270859652
simply	0.8104437771253288
overall	0.6316423134412616
crisis	-0.7246626515407115
accuse	0.7437205084133893
acquire	-0.5120368030620739
abortion	0.6252744772937149
comment	0.843348667724058
railway	-1.6045897891744971
labour	0.7095248429104686
dark	0.7776638868890586
clinton	1.5685967649333181
deny	0.8958620897028595
corporation	-1.3738875464187004
alternative	0.936811612918973
pope	-0.6926837316714227
effective	0.9497668604017236
construct	-0.5680671425070614
owner	-0.6178453644970432
cold	0.560288303764537
assume	0.5841647512279451
jackson	0.6688595339655876
mile	-1.0691129341139458
ocean	-0.5941102665674407
couple	-0.7599039955530316
guard	-0.7574379146099091
instrument	-0.6299116020090878
sister	-0.9082987680158112
jersey	-1.0060883855912834
root	-0.6555646425113082
wrong	1.3479525729781017
theatre	-0.5783770410344005
invasion	-0.7456238263112027
studio	-1.3313362181652335
budget	-0.6467843542341143
dynasty	-1.67053316347301
theme	-0.6288634791853838
bond	-0.7674587287474424
officially	-0.6633140277117491
recently	-0.6947662127204239
retain	-0.5491200243122876
zone	-0.5799511140212417
sector	-1.449439656920731
respond	0.5209058322943747
queen	-0.5513807919342071
identity	-0.6525242747738957
prince	-0.8152745668776333
naval	-0.5289613823988475
prison	-0.5508156421128659
pattern	-0.8308578249998391
manufacture	-0.7673079565865919
secure	-0.5718850325793028
actor	0.5666800737380981
aspect	-0.6700223870575428
opportunity	0.6001213742420077
breed	-0.6103106066584587
partner	-0.5458827842958272
cancer	0.6421723319217563
ring	-0.8521988540887833
side	-0.7152460024517495
connection	-0.5419901422792464
fleet	-1.8378604068420827
investment	-0.6171379771549255
background	-0.7632343880541157
joint	-0.5140174201223999
martin	-0.6999713653640356
portion	-1.3496631202287972
component	-0.805244131013751
stadium	-1.3099911351455376
resign	0.6016496266238391
bishop	-1.4626201251521709
congressional	-0.5431853379122913
environmental	0.7570317431818694
finance	-0.5823126492068695
alexander	1.2094700870802626
ethnic	-0.7310244796099141
ally	-0.8339430703781545
tower	-1.0706100445240736
editor	0.6307947938475991
founder	0.5431393062754069
moral	0.9552435046061872
super	0.5956063419580461
husband	-0.809515621047467
horse	-0.8278811248019338
symbol	-0.7369866460794583
happen	-0.6394439368450548
establishment	-0.6382347452454269
forward	0.9598078029230236
reign	-0.8129153437912464
historic	-1.40625666314736
fully	-0.5077720400877297
vietnam	0.5092188722919673
broad	0.514576100744307
coalition	-0.5207912905607373
register	-0.5734589667990804
stock	-1.1460658012438216
permit	-0.6742727347882465
eagle	-0.8023380413651466
completely	-0.8078786014812067
threaten	-0.6381724301027134
online	0.8164338175556622
crown	-0.8455863269045949
quarter	-1.4274827740155158
celebrate	-0.6384198453743011
discovery	-0.5877876966260374
estate	-1.4254459717049028
ford	-0.9003413068130612
passage	-0.5650303743313998
software	0.5894082400482148
bowl	-0.6756636161589995
corps	-1.1375579945743084
collect	-0.5303002307191491
headquarter	-1.4768524691462517
table	-0.721572203328833
sponsor	-0.5814942687284201
wood	-0.6495694727636874
evolution	0.6265391984488815
imperial	-0.622842235956341
heavily	-0.7321365310344845
immigrant	-0.5927269503008574
tribe	-1.7254436494076801
praise	0.9552468131296336
revolutionary	0.548717450699769
core	-0.6864802874624729
household	-0.6174476151354611
brand	-0.6837567952461541
architecture	-0.8589501270471374
islam	1.4106385819613934
literary	0.7499464324500877
resolution	-0.5855477631557733
license	-0.630025357066188
admit	0.7124380972236395
revenue	-0.759257291443646
ground	-0.9153646533377467
requirement	-0.5971819532569498
last	-0.5037738045211881
flag	-1.0639855037443342
thousand	-0.6334928949363531
chapter	-0.9434644229477273
